"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","BF01_01","BF01_02","BF01_03","BF01_04","BF01_05","BF01_06","BF01_07","BF01_08","BF01_09","BF01_10","BF01_11","BF01_12","BF01_13","BF01_14","BF01_15","CP01_01","CP01_02","CP01_03","CP01_04","CP01_05","CP01_06","CP01_07","CP01_08","CP01_09","CP01_10","CP01_11","DD01_01","DD02","DD03","DD04","NA01_01","NA01_02","NA01_03","NA01_04","NA01_05","NA01_06","NA01_07","NA01_08","NA01_09","NA01_10","NA01_11","NA01_12","NA01_13","NA01_14","NA01_15","NA01_16","NA01_17","NA01_18","NP01_01","NP01_02","NP01_03","NP01_04","NP01_05","NP01_06","NP01_07","NP01_08","NP01_09","NP01_10","NP01_11","NP01_12","NP01_13","NP01_14","NP01_15","NP01_16","SE01_01","SE01_02","SE01_03","SE01_04","SE01_05","SE01_06","SE01_07","SE01_08","SE01_09","SE01_10","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"1",70,NA,NA,"NARQ","interview",2024-11-12 17:29:28,4,5,3,2,5,2,1,1,1,1,4,3,5,5,5,4,3,4,3,4,3,4,3,1,1,5,20,1,2,1,5,2,4,1,6,1,5,5,1,1,4,1,1,1,5,4,1,6,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,4,1,4,4,4,1,4,3,1,4,116,21,71,163,66,291,49,42,715,NA,2024-11-12 17:43:07,1,0,8,8,0,0,0.75
"2",71,NA,NA,"NARQ","interview",2024-11-12 17:29:31,4,3,1,3,3,3,1,1,1,1,2,3,5,5,5,5,4,3,1,4,4,1,4,1,1,4,20,1,2,3,6,4,4,3,6,2,5,5,1,1,1,1,1,1,6,5,2,5,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,4,1,4,3,1,1,4,1,1,4,67,10,37,47,25,51,26,28,291,NA,2024-11-12 17:34:22,1,0,8,8,0,0,1.83
"3",72,NA,NA,"NARQ","interview",2024-11-12 17:29:34,2,4,4,4,5,2,4,5,5,4,2,3,4,4,2,4,4,5,3,4,4,3,3,1,1,3,20,1,2,1,4,1,4,5,6,4,5,3,4,4,5,4,5,4,3,4,5,6,1,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,3,2,2,2,3,2,2,3,3,3,44,18,227,318,59,113,39,20,838,NA,2024-11-12 17:43:32,1,0,8,8,0,0,0.84
"4",77,NA,NA,"NARQ","interview",2024-11-12 17:29:46,4,4,2,5,5,4,2,5,4,4,2,2,3,2,2,3,3,3,4,2,4,3,3,1,2,2,21,1,2,1,3,1,1,4,5,5,2,3,4,5,5,2,3,1,2,2,3,2,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,3,3,3,3,3,3,4,3,2,51,28,122,104,77,116,76,22,596,NA,2024-11-12 17:39:42,1,0,8,8,0,0,0.78
"5",81,NA,NA,"NARQ","interview",2024-11-12 17:31:03,2,5,3,5,3,3,2,3,4,2,4,3,5,5,3,2,3,2,2,1,1,1,2,1,1,5,21,1,1,1,5,4,3,1,6,3,4,5,2,2,4,1,1,1,3,3,1,4,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,3,4,3,4,2,2,4,4,4,3,4,26,89,108,81,123,92,24,547,NA,2024-11-12 17:40:10,1,0,8,8,0,0,1.12
"6",82,NA,NA,"NARQ","interview",2024-11-12 17:31:04,4,3,5,5,5,3,3,5,5,1,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,20,73,NA,NA,NA,NA,NA,105,NA,2024-11-12 17:37:07,0,0,3,3,0,0,0.78
"7",85,NA,NA,"NARQ","interview",2024-11-12 17:31:39,4,4,3,1,3,4,2,1,2,2,4,5,4,4,4,3,3,2,2,2,3,4,4,2,3,4,35,2,2,3,5,2,2,2,4,2,4,3,2,2,3,2,3,1,3,2,1,3,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,3,2,3,3,2,2,3,2,2,3,15,12,92,69,57,100,39,12,396,NA,2024-11-12 17:38:15,1,0,8,8,1,1,1.31
"8",86,NA,NA,"NARQ","interview",2024-11-12 17:31:45,3,5,1,5,4,4,2,5,2,5,4,3,5,3,4,3,3,4,3,2,3,3,4,2,4,5,19,1,2,1,4,2,4,6,4,3,4,4,1,3,3,2,2,1,3,2,4,5,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,3,4,3,3,3,2,3,4,4,3,2,15,83,131,64,169,81,37,582,NA,2024-11-12 17:41:27,1,0,8,8,0,0,1.15
"9",87,NA,NA,"NARQ","interview",2024-11-12 17:31:51,4,5,3,5,3,2,2,4,2,2,3,3,4,2,2,3,3,3,3,4,4,3,4,3,4,5,18,1,2,1,5,3,3,3,4,4,3,2,3,2,5,2,4,2,3,2,1,5,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,2,3,3,2,2,3,3,2,2,16,29,261,272,41,95,39,10,763,NA,2024-11-12 17:44:34,1,0,8,8,0,0,1.05
"10",88,NA,NA,"NARQ","interview",2024-11-12 17:32:31,1,3,4,3,5,4,2,5,4,1,1,3,4,3,4,4,4,4,3,4,4,5,5,2,2,3,21,1,2,1,6,3,3,1,6,4,3,4,3,3,4,2,6,2,4,3,5,6,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,3,3,3,4,1,2,3,3,1,2,12,27,112,298,39,112,45,26,671,NA,2024-11-12 17:43:42,1,0,8,8,0,0,0.95
"11",89,NA,NA,"NARQ","interview",2024-11-12 17:32:47,3,4,4,4,5,3,3,4,4,3,2,3,4,3,2,3,3,2,3,1,2,3,3,1,1,5,21,1,2,1,3,3,2,4,3,4,3,3,3,4,4,2,2,1,2,2,1,5,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,3,2,3,2,3,3,4,3,2,7,30,213,237,141,138,84,16,866,NA,2024-11-12 17:47:13,1,0,8,8,0,0,0.82
"12",90,NA,NA,"NARQ","interview",2024-11-12 17:33:39,2,4,3,5,4,2,3,5,3,4,4,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,61,NA,NA,NA,NA,NA,82,NA,2024-11-12 17:35:01,0,0,3,3,0,0,1.63
